Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Revenues ($M),Profits ($M),Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),
U.S.,Wilmington Del.,Chemicals,Mark P. Vergnano,https://www.chemours.com,Public,CC,$5526,$-52,$1455.9,7000,$5526,$-52,$7258,$689,-0.9%,-0.7%,-7.5%,-0.32,-105.9%,-,-,-32.9%,-,-,
U.S.,Phoenix Ariz.,Semiconductors and Other Electronic Components,Keith D. Jackson,https://www.onsemi.com,Public,ON,$5517.9,$211.7,$5113.7,34800,$5517.9,$211.7,$8425.5,$3301.7,3.8%,2.5%,6.4%,0.51,-64.6%,3.5%,13.8%,47.7%,19.2%,10.7%,
U.S.,Cleveland Ohio,Aerospace & Defense,Kevin M. Stein,https://www.transdigm.com,Public,TDG,$5517.2,$889.8,$17190.3,18300,$5517.2,$889.8,$16254.7,$-2894.9,16.1%,5.5%,-,13.84,-14.6%,34.4%,15.7%,74.1%,29%,35.9%,
U.S.,Bethesda Md.,Real estate,James F. Risoleo,https://www.hosthotels.com,Public,HST,$5469,$920,$7792.9,175,$5469,$920,$12305,$7319,16.8%,7.5%,12.6%,1.26,-14.3%,5.6%,-,16.7%,-0.4%,8%,
U.S.,Mechanicsburg Pa.,Health Care: Medical Facilities,David S. Chernow,https://www.selectmedicalholdings.com,Public,SEM,$5453.9,$148.4,$2014.7,42800,$5453.9,$148.4,$7340.3,$771,2.7%,2%,19.3%,1.1,7.8%,3.9%,6.1%,52.1%,10.3%,10.5%,
U.S.,Houston Texas,Petroleum Refining,William C. Pate,https://www.parpacific.com,Public,PARR,$5401.5,$40.8,$380.6,1408,$5401.5,$40.8,$2700.6,$648.2,0.8%,1.5%,6.3%,0.8,-5.9%,-,-,63.9%,7.4%,-,
U.S.,Hartsville S.C.,Packaging Containers,R. Howard Coker,https://www.sonoco.com,Public,SON,$5374.2,$291.8,$4650.7,23000,$5374.2,$291.8,$5126.3,$1802.7,5.4%,5.7%,16.2%,2.88,-7.1%,5.6%,6.7%,19.5%,10.4%,11.3%,
U.S.,Sarasota Fla.,ScientificPhotographic and Control Equipment,L. Neil Hunn,https://www.ropertech.com,Public,ROP,$5366.8,$1767.9,$33086.1,16460,$5366.8,$1767.9,$18108.9,$9491.9,32.9%,9.8%,18.6%,16.82,85.9%,21.3%,20.6%,33.7%,18.5%,21.8%,
U.S.,Milwaukee Wis.,Transportation Equipment,Jochen Zeitz,https://www.harley-davidson.com,Public,HOG,$5361.8,$423.6,$2892.7,5600,$5361.8,$423.6,$10528.2,$1804,7.9%,4%,23.5%,2.68,-16%,-7.1%,-,13.6%,-8%,6.3%,
U.S.,New York N.Y.,Diversified Financials,Richard B. Handler,https://www.jefferies.com,Public,JEF,$5358.7,$964.7,$3788.1,4800,$5358.7,$964.7,$49460.2,$9579.7,18%,2%,10.1%,3.03,4.5%,41.2%,3%,35.1%,2.1%,1.2%,
U.S.,Troy Mich.,Temporary Help,Peter W. Quigley,https://www.kellyservices.com,Public,KELYA,$5355.6,$112.4,$496.4,7700,$5355.6,$112.4,$2480.6,$1264.5,2.1%,4.5%,8.9%,2.84,389.7%,36%,-,11.7%,7.2%,7.7%,
U.S.,Chandler Ariz.,Semiconductors and Other Electronic Components,Steve Sanghi,https://www.microchip.com,Public,MCHP,$5349.5,$355.9,$16240.7,18286,$5349.5,$355.9,$18350,$5287.5,6.7%,1.9%,6.7%,1.42,37.9%,-4.8%,0.7%,48.1%,20.9%,17.2%,
U.S.,Hunt Valley Md.,Food Consumer Products,Lawrence E. Kurzius,https://www.mccormickcorporation.com,Public,MKC,$5347.4,$702.7,$18767.4,12400,$5347.4,$702.7,$10362.1,$3444.2,13.1%,6.8%,20.4%,5.24,-25.1%,9.4%,8.7%,23.7%,20.1%,19.1%,
U.S.,Bismarck N.D.,Energy,David L. Goodin,https://www.mdu.com,Public,MDU,$5336.9,$335.5,$4310.2,13359,$5336.9,$335.5,$7683.1,$2847.2,6.3%,4.4%,11.8%,1.69,21.6%,1.7%,-,28.6%,8.2%,5.5%,
U.S.,Winona Minn.,Wholesalers: Diversified,Daniel L. Florness,https://www.fastenal.com,Public,FAST,$5333.7,$790.9,$17949.9,21948,$5333.7,$790.9,$3799.9,$2665.6,14.8%,20.8%,29.7%,1.38,5.3%,10.7%,16.1%,45.2%,12.2%,16.3%,
U.S.,Columbus Ohio,Specialty Retailers: Other,Bruce K. Thorn,https://www.biglots.com,Public,BIG,$5323.2,$242.5,$557,22250,$5323.2,$242.5,$3189.3,$845.5,4.6%,7.6%,28.7%,6.16,60.8%,24.5%,9.8%,3.5%,-4%,1.3%,
U.S.,Wyomissing Pa.,Hotels Casinos Resorts,Jay A. Snowden,https://www.pngaming.com,Public,PENN,$5301.4,$43.9,$1478.3,28300,$5301.4,$43.9,$14194.5,$1852.7,0.8%,0.3%,2.4%,0.37,-60.2%,-,-,35.7%,13.2%,15%,
U.S.,Denver Colo.,Financial Data Services,Hikmet Ersek,https://www.westernunion.com,Public,WU,$5292.1,$1058.3,$7489.9,11500,$5292.1,$1058.3,$8758.5,$-39.5,20%,12.1%,-,2.46,31.6%,9.1%,7.4%,62.9%,12.3%,6.7%,
U.S.,Baltimore Md.,Apparel,Patrik Frisk,https://www.uabiz.com,Public,UAA,$5267.1,$92.1,$3878.1,11700,$5267.1,$92.1,$4843.5,$2150.1,1.7%,1.9%,4.3%,0.2,-,-15.9%,5.7%,22.2%,-8.6%,20.3%,
U.S.,Rye Brook N.Y.,Industrial Machinery,Patrick K. Decker,https://www.xylem.com,Public,XYL,$5249,$401,$11737.9,16300,$5249,$401,$7710,$2957,7.6%,5.2%,13.6%,2.21,-27.1%,3.8%,-,19.5%,17.2%,-,
U.S.,Manhattan Beach Calif.,Apparel,Robert Greenberg,https://www.skx.com,Public,SKX,$5242.5,$346.6,$3724.9,8550,$5242.5,$346.6,$4892.9,$2314.7,6.6%,7.1%,15%,2.25,17.2%,19.9%,19.3%,88.7%,18.6%,16%,
U.S.,Fort Mill S.C.,Forest and Paper Products,John D. Williams,https://www.domtar.com,Public,UFS,$5220,$84,$1217.8,10000,$5220,$84,$4903,$2376,1.6%,1.7%,3.5%,1.37,-69.4%,-27.1%,-9.2%,13.6%,3.1%,6.5%,
U.S.,Merrillville Ind.,Utilities: Gas and Electric,Joseph J. Hamrock,https://www.nisource.com,Public,NI,$5208.9,$383.1,$9545.1,8363,$5208.9,$383.1,$22659.8,$5986.7,7.4%,1.7%,6.4%,0.87,-,-12.2%,1%,13.1%,14.7%,21%,
U.S.,Houston Texas,Mining Crude-Oil Production,Lee M. Tillman,https://www.marathonoil.com,Public,MRO,$5190,$480,$2618.3,2000,$5190,$480,$20245,$12153,9.2%,2.4%,3.9%,0.59,-54.3%,-33.3%,-11.8%,-3.9%,-12.1%,-1.4%,
U.S.,New York N.Y.,Insurance: Property and Casualty (Stock),Barry Karfunkel,https://www.nationalgeneral.com,Public,NGHC,$5179.6,$348.1,$1881.9,9200,$5179.6,$348.1,$9756.5,$2649.5,6.7%,3.6%,13.1%,2.73,71.7%,21.8%,-,-8%,4.2%,-,
U.S.,Chicago Ill.,Telecommunications,LeRoy T. Carlson Jr.,https://www.tdsinc.com,Public,TDS,$5176,$121,$1923.7,9400,$5176,$121,$10781,$4653,2.3%,1.1%,2.6%,1.03,-12%,-,-4.4%,-20%,2.4%,-,
U.S.,Santa Clara Calif.,ScientificPhotographic and Control Equipment,Michael R. McMullen,https://www.agilent.com,Public,A,$5163,$1071,$22177.2,16300,$5163,$1071,$9452,$4748,20.7%,11.3%,22.6%,3.37,247.4%,15.8%,-,27.6%,16.9%,15.2%,
U.S.,Berwyn Pa.,ScientificPhotographic and Control Equipment,David A. Zapico,https://www.ametek.com,Public,AME,$5158.6,$861.3,$16506.3,18100,$5158.6,$861.3,$9844.6,$5115.5,16.7%,8.7%,16.8%,3.75,12.3%,9.6%,16%,48.2%,14.4%,20.1%,
U.S.,Kansas City Mo.,Utilities: Gas and Electric,Terry D. Bassham,https://www.evergyinc.com,Public,EVRG,$5147.8,$669.9,$12477.6,4617,$5147.8,$669.9,$25975.9,$8571.9,13%,2.6%,7.8%,2.79,11.6%,3.5%,5.9%,18.3%,13.3%,16.1%,
U.S.,New York N.Y.,Chemicals,Andreas Fibig,https://www.iff.com,Public,IFF,$5140.1,$455.9,$10902.4,13668,$5140.1,$455.9,$13287.4,$6217.3,8.9%,3.4%,7.3%,4,5.5%,-4.6%,5%,-1.8%,7.1%,14.4%,
U.S.,Boca Raton Fla.,Diversified Outsourcing Services,James D. DeVries,https://www.adt.com,Public,ADT,$5125.7,$-424.2,$3282.7,17500,$5125.7,$-424.2,$16083.7,$3184.4,-8.3%,-2.6%,-13.3%,-0.57,-,-,-,47.4%,-,-,
U.S.,Toledo Ohio,Real estate,Thomas J. DeRosa,https://www.welltower.com,Public,WELL,$5121.3,$1232.4,$18795.2,443,$5121.3,$1232.4,$33380.8,$15540.4,24.1%,3.7%,7.9%,3.05,51%,16%,7.4%,22.9%,6.7%,11.9%,
U.S.,Little Rock Ark.,Telecommunications,Anthony W. Thomas,https://www.windstream.com,Public,WINMQ,$5115.4,$-3090,$2.2,11945,$5115.4,$-3090,$9897.5,$-1981.3,-60.4%,-31.2%,-,-72.54,-,-,-,-95.7%,-71.9%,-45.9%,
U.S.,Irving Texas,Specialty Retailers: Other,Ashley Buchanan,https://www.michaels.com,Public,MIK,$5072,$272.6,$237.9,28000,$5072,$272.6,$3838.1,$-1446.5,5.4%,7.1%,-,1.78,-4.3%,11.1%,-,-40.3%,-20%,-,
U.S.,Chicago Ill.,Insurance: Property and Casualty (Stock),Joseph P. Lacher Jr.,https://www.kemper.com,Public,KMPR,$5039.2,$531.1,$4970.1,8900,$5039.2,$531.1,$12989.1,$3972.3,10.5%,4.1%,13.4%,7.96,147.2%,30.3%,11.7%,18.3%,18.9%,16.4%,
U.S.,Chicago Ill.,Hotels Casinos Resorts,Mark S. Hoplamazian,https://www.hyatt.com,Public,H,$5020,$766,$4852.5,55000,$5020,$766,$8417,$3962,15.3%,9.1%,19.3%,7.21,7.9%,26.5%,-,34.1%,8.7%,11.8%,
U.S.,Boston Mass.,Pharmaceuticals,Ludwig N. Hantson Ph.D.,https://www.alexion.com,Public,ALXN,$4991.1,$2404.3,$19942.4,3082,$4991.1,$2404.3,$17544.6,$11271.8,48.2%,13.7%,21.3%,10.7,2957.1%,26.8%,20.7%,11.1%,-10.2%,16.1%,
U.S.,Austin Texas,Building Materials Glass,Jay Geldmacher,https://www.resideo.com,Public,REZI,$4988,$36,$595,13000,$4988,$36,$5128,$1602,0.7%,0.7%,2.2%,0.29,-,-,-,-41.9%,-,-,
U.S.,Arlington Va.,Information Technology Services,John S. Mengucci,https://www.caci.com,Public,CACI,$4986.3,$265.6,$5293.9,22100,$4986.3,$265.6,$5086.8,$2371.3,5.3%,5.2%,11.2%,10.46,-12.3%,14.2%,12.8%,73.6%,23.7%,17.7%,
U.S.,Redwood City Calif.,Entertainment,Andrew Wilson,https://www.ea.com,Public,EA,$4950,$1019,$29016.7,9700,$4950,$1019,$8957,$5331,20.6%,11.4%,19.1%,3.33,-0.3%,156.5%,-,36.2%,18%,19.7%,
U.S.,Birmingham Ala.,Building Materials Glass,J. Thomas Hill,https://www.vulcanmaterials.com,Public,VMC,$4929.1,$617.7,$14325.2,9173,$4929.1,$617.7,$10648.8,$5621.9,12.5%,5.8%,11%,4.63,20.3%,24.6%,33.9%,47.1%,17.9%,11.6%,
U.S.,Oak Brook Ill.,Food Consumer Products,Steven T. Oakland,https://www.treehousefoods.com,Public,THS,$4926.9,$-361,$2484,10800,$4926.9,$-361,$5139.4,$1830.9,-7.3%,-7%,-19.7%,-6.42,-,-,-,-4.4%,-10.7%,2.2%,
U.S.,Atlanta Ga.,Financial Data Services,Jeffrey S. Sloan,https://www.globalpaymentsinc.com,Public,GPN,$4911.9,$430.6,$43287.5,24000,$4911.9,$430.6,$44480.2,$27855.7,8.8%,1%,1.5%,2.16,-23.9%,5.1%,25.1%,77.2%,35.3%,21.2%,
U.S.,Worcester Mass.,Insurance: Property and Casualty (Stock),John C. Roche,https://www.hanover.com,Public,THG,$4897.4,$425.1,$3457.4,4300,$4897.4,$425.1,$12490.5,$2916.2,8.7%,3.4%,14.6%,10.46,15.1%,10.7%,10.5%,25.8%,17.5%,15.2%,
U.S.,Lincolnshire Ill.,Automotive Retailing Services,Marcus A. Lemonis,https://www.campingworld.com,Public,CWH,$4892,$-60.6,$502.1,11508,$4892,$-60.6,$3376.2,$-32.6,-1.2%,-1.8%,-,-1.62,-678.6%,-,-,35.2%,-,-,
U.S.,Cary N.C.,Building Materials Glass,James S. Metcalf,https://www.cornerstonebuildingbrands.com,Public,CNR,$4889.7,$-15.4,$574.9,20100,$4889.7,$-15.4,$5564.3,$935.3,-0.3%,-0.3%,-1.6%,-0.12,-112.8%,-,-,17.4%,-14.4%,-0.6%,
U.S.,Overland Park Kans.,Trucking Truck Leasing,Darren D. Hawkins,https://www.yrcw.com,Public,YRCW,$4871.2,$-104,$60.6,29000,$4871.2,$-104,$1831.6,$-441.2,-2.1%,-5.7%,-,-3.13,-621.7%,-,-,-19%,-35.3%,-54.2%,
U.S.,Chicago Ill.,Securities,Terrence A. Duffy,https://www.cmegroup.com,Public,CME,$4868,$2116.5,$61984.7,4360,$4868,$2116.5,$75215.3,$26128.9,43.5%,2.8%,8.1%,5.91,3.5%,12%,9.1%,9.3%,22.8%,16.1%,
U.S.,Dania Beach Fla.,Internet Services and Retailing,Sumit Singh,https://www.chewy.com,Public,CHWY,$4846.7,$-252.4,$14943.5,12000,$4846.7,$-252.4,$932.3,$-404,-5.2%,-27.1%,-,-0.63,-,-,-,-,-,-,
U.S.,Phoenix Ariz.,Trucking Truck Leasing,David A. Jackson,https://www.knight-swift.com,Public,KNX,$4844,$309.2,$5568.6,23700,$4844,$309.2,$8281.7,$5666.2,6.4%,3.7%,5.5%,1.8,-23.7%,3%,-,44%,-1.8%,-,
U.S.,New York N.Y.,Financial Data Services,Raymond W. McDaniel Jr.,https://www.moodys.com,Public,MCO,$4829,$1422,$39594.4,11081,$4829,$1422,$10265,$612,29.4%,13.9%,232.4%,7.42,10.1%,10%,15.9%,71.2%,21.4%,26.1%,
U.S.,Charlotte N.C.,Beverages,J. Frank Harrison III,https://www.cokeconsolidated.com,Public,COKE,$4826.5,$11.4,$1954.7,15850,$4826.5,$11.4,$3126.9,$347,0.2%,0.4%,3.3%,1.21,-,-18.5%,-11.6%,60.7%,27.1%,19.3%,
U.S.,Scottsdale Ariz.,Building Materials Glass,D. Christian Koch,https://www.carlisle.com,Public,CSL,$4811.6,$472.8,$6976.9,14000,$4811.6,$472.8,$5496,$2642.8,9.8%,8.6%,17.9%,8.19,-18.3%,16.5%,13.3%,63.1%,13.9%,18.4%,
U.S.,Charlotte N.C.,Packaging Containers,Edward L. Doheny II,https://www.sealedair.com,Public,SEE,$4791.1,$263,$3821.9,16500,$4791.1,$263,$5765.2,$-196.2,5.5%,4.6%,-,1.69,40.8%,7.1%,2.3%,16.1%,0.1%,8.1%,
U.S.,El Segundo Calif.,Miscellaneous,Gregory N. Roberts,https://www.amark.com,Public,AMRK,$4783.2,$2.2,$86.3,183,$4783.2,$2.2,$705.4,$69.7,-,0.3%,3.2%,0.31,-,-22.2%,-,-29.9%,-2.5%,-,
U.S.,Miami Fla.,Wholesalers: Diversified,Albert H. Nahmad,https://www.watsco.com,Public,WSO,$4770.4,$246,$6049.8,5800,$4770.4,$246,$2556.2,$1435.4,5.2%,9.6%,17.1%,6.5,0.2%,8.5%,16.6%,34.7%,14.4%,18.2%,
U.S.,Scottsdale Ariz.,Homebuilders,Sheryl D. Palmer,https://www.taylormorrison.com,Public,TMHC,$4762.1,$254.7,$1478.9,2300,$4762.1,$254.7,$5245.7,$2537.7,5.3%,4.9%,10%,2.35,28.4%,1.6%,-,37.5%,3%,-,
U.S.,New York N.Y.,Internet Services and Retailing,Joseph M. Levin,https://www.iac.com,Public,IAC,$4757.1,$431.1,$15191.5,8700,$4757.1,$431.1,$8332.8,$2928,9.1%,5.2%,14.7%,4.5,-31.7%,-0.8%,-,36.1%,33.1%,29.3%,
U.S.,Carthage Mo.,Home Equipment Furnishings,Karl G. Glassman,https://www.leggett.com,Public,LEG,$4752.5,$333.8,$3528.4,22000,$4752.5,$333.8,$4816.4,$1312,7%,6.9%,25.4%,2.47,9.3%,29.4%,13.4%,47.4%,6.9%,13.8%,
U.S.,Evansville Ind.,Diversified Financials,Douglas H. Shulman,https://www.omf.com,Public,OMF,$4749,$855,$2604,9700,$4749,$855,$22817,$4330,18%,3.7%,19.7%,6.27,90.6%,7.4%,-,87.5%,4.7%,-,
U.S.,Green Bay Wis.,Transportation and Logistics,Mark B. Rourke,https://www.schneider.com,Public,SNDR,$4747,$147,$3425.5,15650,$4747,$147,$3660.1,$2236.4,3.1%,4%,6.6%,0.83,-45.4%,-,-,18.3%,-,-,
U.S.,Raleigh N.C.,Building Materials Glass,C. Howard Nye,https://www.martinmarietta.com,Public,MLM,$4739.1,$611.9,$11769.9,8846,$4739.1,$611.9,$10131.6,$5350.8,12.9%,6%,11.4%,9.74,31.1%,29.2%,17.7%,64.1%,21.6%,13.6%,
U.S.,Tempe Ariz.,Computer Software,Vincent Pilette,https://www.nortonlifelock.com,Public,NLOK,$4731,$31,$11233.2,11900,$4731,$31,$15938,$5738,0.7%,0.2%,0.5%,0.05,-97.1%,-47.7%,-,37.1%,5.6%,7%,
U.S.,Pawtucket R.I.,Toys Sporting Goods,Brian D. Goldner,https://www.hasbro.com,Public,HAS,$4720.2,$520.5,$9793.5,5600,$4720.2,$520.5,$8855.6,$2995.5,11%,5.9%,17.4%,4.05,132.8%,4.8%,5%,33.6%,16.8%,15.9%,
U.S.,San Francisco Calif.,Financial Data Services,Jack Dorsey,https://www.squareup.com,Public,SQ,$4713.5,$375.4,$22797.6,3835,$4713.5,$375.4,$4551.3,$1715.1,8%,8.2%,21.9%,0.81,-,-,-,11.5%,-,-,
U.S.,Westport Conn.,Construction and Farm Machinery,John L. Garrison Jr.,https://www.terex.com,Public,TEX,$4680.3,$54.4,$1015.3,9500,$4680.3,$54.4,$3195.6,$932.3,1.2%,1.7%,5.8%,0.76,-48.6%,-22.9%,-,9.6%,2.5%,4.8%,
U.S.,Morrisville N.C.,Health Care: Pharmacy and Other Services,Alistair Macdonald,https://www.syneoshealth.com,Public,SYNH,$4675.8,$131.3,$4109.4,24000,$4675.8,$131.3,$7453.8,$3029.7,2.8%,1.8%,4.3%,1.25,443.5%,-,-,51.1%,18.3%,-,
U.S.,Philadelphia Pa.,Chemicals,Mark A. Douglas,https://www.fmc.com,Public,FMC,$4661.9,$477.4,$10574,6400,$4661.9,$477.4,$9872.7,$2532.3,10.2%,4.8%,18.9%,3.62,-1.9%,9.6%,8.8%,58.6%,16.6%,16.4%,
U.S.,Boise Idaho,Wholesalers: Diversified,Nathan R. Jorgensen,https://www.bc.com,Public,BCC,$4643.4,$80.9,$932.1,6010,$4643.4,$80.9,$1693.4,$701.3,1.7%,4.8%,11.5%,2.06,296.2%,0.3%,-,56.9%,0.8%,-,
U.S.,Windsor Conn.,Computer Software,William C. Stone,https://www.ssctech.com,Public,SSNC,$4632.9,$438.5,$11203.5,22800,$4632.9,$438.5,$16741.1,$5116.1,9.5%,2.6%,8.6%,1.66,295.2%,17.2%,-,37.1%,16.8%,-,
U.S.,Oklahoma City Okla.,Mining Crude-Oil Production,William B. Berry,https://www.clr.com,Public,CLR,$4631.9,$775.6,$2789.4,1260,$4631.9,$775.6,$15727.9,$6741.7,16.7%,4.9%,11.5%,2.08,-21.2%,-4.7%,25.8%,-14.5%,-2.2%,4.8%,
U.S.,St. Louis Mo.,Mining Crude-Oil Production,Glenn L. Kellow,https://www.peabodyenergy.com,Public,BTU,$4623.4,$-211.3,$281.6,6600,$4623.4,$-211.3,$6542.8,$2613.8,-4.6%,-3.2%,-8.1%,-2.04,-146%,-,-,-66.8%,-,-,
U.S.,Birmingham Ala.,Health Care: Medical Facilities,Mark J. Tarr,https://www.encompasshealth.com,Public,EHC,$4605,$358.7,$6302.7,35690,$4605,$358.7,$6080.7,$1352.2,7.8%,5.9%,26.5%,3.61,23.2%,9.5%,16.7%,14.2%,14.8%,15.4%,
U.S.,Delaware Ohio,Packaging Containers,Peter G. Watson,https://www.greif.com,Public,GEF,$4595,$171,$1698.1,17000,$4595,$171,$5426.7,$1133.1,3.7%,3.2%,15.1%,-,-,-,-,24.9%,2.7%,1.6%,
U.S.,Midland Texas,Mining Crude-Oil Production,Timothy A. Leach,https://www.concho.com,Public,CXO,$4592,$-705,$8428.9,1453,$4592,$-705,$24732,$17782,-15.4%,-2.9%,-4%,-3.55,-126.8%,-,-,-14.3%,-2.5%,7%,
U.S.,Shelton Conn.,Electronics Electrical Equip.,David G. Nord,https://www.hubbell.com,Public,HUBB,$4591,$400.9,$6239.4,18800,$4591,$400.9,$4903,$1947.1,8.7%,8.2%,20.6%,7.31,11.8%,5.9%,8.8%,52.7%,9.4%,14.8%,
U.S.,Deerfield Ill.,Chemicals,W. Anthony Will,https://www.cfindustries.com,Public,CF,$4590,$493.1,$5879.9,2987,$4590,$493.1,$12171.9,$2897.5,10.7%,4.1%,17%,2.23,79.8%,-16.3%,4.2%,12.7%,0.5%,12.4%,
U.S.,Milpitas Calif.,Semiconductors and Other Electronic Components,Richard P. Wallace,https://www.kla.com,Public,KLAC,$4568.9,$1175.6,$22534.4,10020,$4568.9,$1175.6,$9008.5,$2659.1,25.7%,13.1%,44.2%,7.49,46.9%,16.6%,-,103.9%,23.8%,23.2%,
U.S.,Kennett Square Pa.,Health Care: Medical Facilities,George V. Hager Jr.,https://www.genesishcc.com,Public,GEN,$4565.8,$14.6,$138.9,55000,$4565.8,$14.6,$4662.1,$-760.9,0.3%,0.3%,-,0.1,-,-,-,39%,-,-,
U.S.,Mettawa Ill.,Transportation Equipment,David M. Foulkes,https://www.brunswick.com,Public,BC,$4556.7,$-131,$2806.8,12828,$4556.7,$-131,$3564.4,$1300.9,-2.9%,-3.7%,-10.1%,-1.53,-150.8%,-,-,31.2%,4.5%,17.8%,
U.S.,Los Angeles Calif.,Homebuilders,Jeffrey T. Mezger,https://www.kbhome.com,Public,KBH,$4552.7,$268.8,$1630.8,2140,$4552.7,$268.8,$5015.5,$2383.1,5.9%,5.4%,11.3%,2.85,66.7%,-21%,-,80.9%,16.4%,10.8%,
U.S.,McKinney Texas,Insurance: Life Health (stock),Gary L. Coleman/Larry M. Hutchison,https://www.globelifeinsurance.com,Public,GL,$4527.5,$760.8,$7729.4,3196,$4527.5,$760.8,$25977.5,$7294.3,16.8%,2.9%,10.4%,6.83,12.2%,10.8%,12.2%,42.3%,15.2%,19.5%,
U.S.,El Segundo Calif.,Toys Sporting Goods,Ynon Kreiz,https://www.mattel.com,Public,MAT,$4504.6,$-213.5,$3055.9,24000,$4504.6,$-213.5,$5325.2,$491.7,-4.7%,-4%,-43.4%,-0.62,-,-,-,35.6%,-12.6%,-0.6%,
U.S.,Chicago Ill.,Metals,Edward J. Lehner,https://www.ryerson.com,Public,RYI,$4501.6,$82.4,$199.3,4500,$4501.6,$82.4,$2021.5,$172.6,1.8%,4.1%,47.7%,2.17,-22.8%,-,-,86.6%,3.6%,-,
U.S.,Stamford Conn.,Packaging Containers,Anthony J. Allott,https://www.silganholdings.com,Public,SLGN,$4489.9,$193.8,$3214.8,13220,$4489.9,$193.8,$4931.1,$1023.3,4.3%,3.9%,18.9%,1.74,-13.4%,4%,5.3%,33.5%,4.4%,9.3%,
U.S.,Lincolnshire Ill.,Electronics Electrical Equip.,Anders Gustafsson,https://www.zebra.com,Public,ZBRA,$4485,$544,$9916,8200,$4485,$544,$4711,$1839,12.1%,11.5%,29.6%,9.97,28.5%,73.7%,28.9%,60.4%,27%,24.6%,
U.S.,Sunnyvale Calif.,Medical Products and Equipment,Gary S. Guthart,https://www.intuitive.com,Public,ISRG,$4478.5,$1379.3,$57432,7326,$4478.5,$1379.3,$9733.2,$8263.8,30.8%,14.2%,16.7%,11.54,21.6%,25.5%,19.3%,23.4%,27.4%,19.3%,
U.S.,New York N.Y.,Entertainment,Stephen F. Cooper,https://www.wmg.com,Public,WMG,$4475,$256,$,5400,$4475,$256,$6017,$-289,5.7%,4.3%,-,-,-,-,-,-,-,-,
U.S.,Florham Park N.J.,Diversified Outsourcing Services,Clifford A. Skelton,https://www.conduent.com,Public,CNDT,$4467,$-1934,$519.1,67000,$4467,$-1934,$4514,$1442,-43.3%,-42.8%,-134.1%,-9.29,-,-,-,-41.7%,-,-,
U.S.,Sylmar Calif.,Engineering Construction,Ronald N. Tutor,https://www.tutorperini.com,Public,TPC,$4450.8,$-387.7,$339.2,9100,$4450.8,$-387.7,$4485.8,$1440.1,-8.7%,-8.6%,-26.9%,-7.72,-565.1%,-,-,-19.5%,-11.8%,-2.9%,
U.S.,Sunnyvale Calif.,Network and Other Communications Equipment,Rami Rahim,https://www.juniper.net,Public,JNPR,$4445.4,$345,$6326.3,9419,$4445.4,$345,$8837.7,$4610.6,7.8%,3.9%,7.5%,0.99,-38.1%,-,16.2%,-5.7%,4.1%,0.3%,
U.S.,Houston Texas,Mining Crude-Oil Production,David L. Stover,https://www.nblenergy.com,Public,NBL,$4438,$-1512,$2929.6,2282,$4438,$-1512,$20647,$8410,-34.1%,-7.3%,-18%,-3.16,-,-,-,35.2%,-10.7%,-2.3%,
U.S.,Columbus Ohio,Electronics Electrical Equip.,Robert J. Johnson,https://www.vertiv.com,Public,VRT,$4431.2,$-140.8,$2840.8,19800,$4431.2,$-140.8,$4657.4,$-704.8,-3.2%,-3%,-,-,-,-,-,12.6%,-,-,
U.S.,New York N.Y.,Specialty Retailers: Other,Alessandro Bogliolo,https://www.investor.tiffany.com,Public,TIF,$4424,$541.1,$15694.3,14100,$4424,$541.1,$6660.1,$3322.9,12.2%,8.1%,16.3%,4.45,-6.3%,3.6%,7.7%,70.1%,6.9%,14.3%,
U.S.,Pittsburgh Pa.,Energy,Toby Z. Rice,https://www.eqt.com,Public,EQT,$4416.5,$-1221.7,$1806.1,647,$4416.5,$-1221.7,$18809.2,$9803.6,-27.7%,-6.5%,-12.5%,-4.79,-,-,-,-41.7%,-23%,-6.8%,
U.S.,Grand Rapids Mich.,Building Materials Glass,Matthew J. Missad,https://www.ufpi.com,Public,UFPI,$4416,$179.7,$2296.8,12000,$4416,$179.7,$1889.5,$1243.7,4.1%,9.5%,14.4%,2.91,21.3%,25%,21.5%,85.5%,23.2%,15.8%,
U.S.,North Canton Ohio,Computers Office Equipment,Gerrard B. Schmid,https://www.dieboldnixdorf.com,Public,DBD,$4408.7,$-341.3,$272.8,22000,$4408.7,$-341.3,$3790.6,$-530.3,-7.7%,-9%,-,-4.45,-,-,-,324.1%,-19.7%,-7%,
U.S.,Denver Colo.,Mining Crude-Oil Production,Paul M. Rady,https://www.anteroresources.com,Public,AR,$4408.7,$-340.1,$204.4,547,$4408.7,$-340.1,$15197.6,$6970.7,-7.7%,-2.2%,-4.9%,-1.11,-,-,-,-69.6%,-41.2%,-,
U.S.,Troy Mich.,Motor Vehicles & Parts,Jeffrey A. Craig,https://www.meritor.com,Public,MTOR,$4388,$291,$979.3,9100,$4388,$291,$2815,$385,6.6%,10.3%,75.6%,3.37,163.3%,6.1%,-,54.9%,11.6%,8.9%,
