Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Revenues ($M),Profits ($M),Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),
U.S.,Fort Lauderdale Fla.,Automotive Retailing Services,Michael J. Jackson,https://www.autonation.com,Public,AN,$21335.7,$450,$2510.7,25000,$21335.7,$450,$10543.3,$3162.1,2.1%,4.3%,14.2%,4.97,14.5%,7.1%,16.1%,36.2%,-4.2%,9.8%,
U.S.,Tysons Va.,Information Technology Services,Michael J. Salvino,https://www.dxc.technology,Public,DXC,$21184,$1257,$3311.1,130000,$21184,$1257,$29574,$11402,5.9%,4.3%,11%,4.47,-26%,-,-,-28.1%,-,-,
U.S.,Chicago Ill.,Food Services,Christopher J. Kempczinski,https://www.aboutmcdonalds.com,Public,MCD,$21076.5,$6025.4,$123259.6,205000,$21076.5,$6025.4,$47510.8,$-8210.3,28.6%,12.7%,-,7.88,4.5%,10.3%,6.7%,14%,19.3%,15.6%,
U.S.,Bethesda Md.,Hotels Casinos Resorts,Arne M. Sorenson,https://www.marriott.com,Public,MAR,$20972,$1273,$24254.5,174000,$20972,$1273,$25051,$703,6.1%,5.1%,181.1%,3.8,-29.4%,8.4%,-,41.4%,15.7%,20.9%,
U.S.,Milwaukee Wis.,Temporary Help,Jonas Prising,https://www.manpowergroup.com,Public,MAN,$20863.5,$465.7,$3109.4,28000,$20863.5,$465.7,$9223.8,$2743,2.2%,5%,17%,7.72,-9.8%,7.8%,-,53.4%,9.6%,7.9%,
U.S.,New York N.Y.,Commercial Banks,Thomas P. Gibbons,https://www.bnymellon.com,Public,BK,$20822,$4441,$29808.5,48400,$20822,$4441,$381508,$41483,21.3%,1.2%,10.7%,4.51,11.6%,16%,-,9.5%,6.4%,8.1%,
U.S.,Hartford Conn.,Insurance: Property and Casualty (Stock),Christopher J. Swift,https://www.thehartford.com,Public,HIG,$20740,$2085,$12624.8,19500,$20740,$2085,$70817,$16270,10.1%,2.9%,12.8%,5.66,14.3%,26.8%,-,39.9%,10%,12.1%,
U.S.,Washington D.C.,Medical Products and Equipment,Thomas P. Joyce Jr.,https://www.danaher.com,Public,DHR,$20521.2,$3008.2,$96457.3,60000,$20521.2,$3008.2,$62081.6,$30270.6,14.7%,4.8%,9.9%,4.05,8.3%,2.2%,8.9%,49.6%,19.2%,18.7%,
U.S.,Benton Harbor Mich.,Electronics Electrical Equip.,Marc R. Bitzer,https://www.whirlpoolcorp.com,Public,WHR,$20419,$1184,$5377.8,77000,$20419,$1184,$18881,$3195,5.8%,6.3%,37.1%,18.45,-,17.7%,15.6%,42.7%,-2.7%,8.9%,
U.S.,Los Angeles Calif.,Engineering Construction,Michael S. Burke,https://www.aecom.com,Public,ACM,$20173.3,$-261.1,$4734.9,86000,$20173.3,$-261.1,$14461.6,$3690.6,-1.3%,-1.8%,-7.1%,-1.66,-297.6%,-,-,62.8%,7.3%,4.6%,
U.S.,Los Gatos Calif.,Entertainment,Reed Hastings/Ted Sarandos,https://www.netflix.com,Public,NFLX,$20156.4,$1866.9,$164771.9,8600,$20156.4,$1866.9,$33975.7,$7582.2,9.3%,5.5%,24.6%,4.13,54.1%,46.3%,30.7%,20.9%,46%,45%,
U.S.,Menomonee Falls Wis.,General Merchandisers,Michelle D. Gass,https://www.kohls.com,Public,KSS,$19974,$691,$2265,79500,$19974,$691,$14555,$5450,3.5%,4.7%,12.7%,4.37,-9.7%,0.6%,3.1%,-19.2%,0.7%,2.6%,
U.S.,Southfield Mich.,Motor Vehicles & Parts,Raymond E. Scott,https://www.lear.com,Public,LEA,$19810.3,$753.6,$4913.4,164100,$19810.3,$753.6,$12680.7,$4349.7,3.8%,5.9%,17.3%,12.75,-26%,9.1%,-,14.2%,8.5%,16.4%,
U.S.,Richmond Va.,Tobacco,William F. Gifford Jr.,https://www.altria.com,Public,MO,$19796,$-1293,$71863,7300,$19796,$-1293,$49271,$6222,-6.5%,-2.6%,-20.8%,-0.7,-119%,-,-,8%,4.9%,15.4%,
U.S.,Richmond Va.,Wholesalers: Food and Grocery,George L. Holm,https://www.pfgc.com,Public,PFGC,$19743.5,$166.8,$2896.7,18000,$19743.5,$166.8,$4653.5,$1298.2,0.8%,3.6%,12.8%,1.59,-16.3%,-,-,59.5%,-,-,
U.S.,Phoenix Ariz.,Wholesalers: Electronics and Office Equipment,William J. Amelio,https://www.avnet.com,Public,AVT,$19518.6,$176.3,$2505.9,15500,$19518.6,$176.3,$8564.6,$4140.5,0.9%,2.1%,4.3%,1.59,-,-16.4%,-,19.8%,1.5%,4.6%,
U.S.,Stamford Conn.,Diversified Financials,Margaret M. Keane,https://www.synchronyfinancial.com,Public,SYF,$19461,$3747,$9870.8,16500,$19461,$3747,$104826,$15088,19.3%,3.6%,24.8%,5.56,48.7%,-,-,57.4%,5.5%,-,
U.S.,Atlanta Ga.,Wholesalers: Diversified,Paul D. Donahue,https://www.genpt.com,Public,GPC,$19392.3,$621.1,$9788.5,55000,$19392.3,$621.1,$14645.6,$3674.7,3.2%,4.2%,16.9%,4.24,-22.9%,-1.7%,5.4%,13.9%,2.8%,14.2%,
U.S.,Juno Beach Fla.,Utilities: Gas and Electric,James L. Robo,https://www.nexteraenergy.com,Public,NEE,$19204,$3769,$117655,14800,$19204,$3769,$117691,$37005,19.6%,3.2%,10.2%,7.76,-44.1%,6.7%,6.9%,42.6%,21.2%,20.2%,
U.S.,Richmond Va.,Automotive Retailing Services,William D. Nash,https://www.carmax.com,Public,KMX,$19146,$842.4,$8795,25946,$19146,$842.4,$18717.9,$3357,4.4%,4.5%,25.1%,4.79,33.1%,17.3%,33.3%,39.8%,5.7%,13.7%,
U.S.,Dallas Texas,Health Care: Medical Facilities,Ronald A. Rittenmeyer,https://www.tenethealth.com,Public,THC,$18479,$-232,$1501.8,101104,$18479,$-232,$23351,$-371,-1.3%,-1%,-,-2.24,-309.3%,-,-,121.9%,-5.6%,5.8%,
U.S.,Irving Texas,Household and Personal Products,Michael D. Hsu,https://www.kimberly-clark.com,Public,KMB,$18450,$2157,$43662.5,40000,$18450,$2157,$15283,$-33,11.7%,14.1%,-,6.24,54.8%,9.1%,3.3%,24.7%,6.9%,12.2%,
