Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),Revenues ($M)_cat,Profits ($M)_cat,Market Value ($M)_cat,Employees_cat,Assets ($M)_cat,Total Stockholder Equity ($M)_cat,Earnings Per Share ($)_cat,Revenues ($M)_cat_1,Revenues ($M)_cat_2,Revenues ($M)_cat_3,Revenues ($M)_cat_4,Revenues ($M)_cat_5,Profits ($M)_cat_1,Profits ($M)_cat_2,Profits ($M)_cat_3,Profits ($M)_cat_4,Profits ($M)_cat_5,Market Value ($M)_cat_1,Market Value ($M)_cat_2,Market Value ($M)_cat_3,Market Value ($M)_cat_4,Market Value ($M)_cat_5,Employees_cat_1,Employees_cat_2,Employees_cat_3,Employees_cat_4,Employees_cat_5,Assets ($M)_cat_1,Assets ($M)_cat_2,Assets ($M)_cat_3,Assets ($M)_cat_4,Assets ($M)_cat_5,Total Stockholder Equity ($M)_cat_1,Total Stockholder Equity ($M)_cat_2,Total Stockholder Equity ($M)_cat_3,Total Stockholder Equity ($M)_cat_4,Total Stockholder Equity ($M)_cat_5,Earnings Per Share ($)_cat_1,Earnings Per Share ($)_cat_2,Earnings Per Share ($)_cat_3,Earnings Per Share ($)_cat_4,Earnings Per Share ($)_cat_5
U.S.,Kennett Square Pa.,Health Care: Medical Facilities,George V. Hager Jr.,https://www.genesishcc.com,Public,GEN,4565.8,14.6,138.9,55000,4662.1,-760.9,0.3,0.3,0.0,0.1,0.0,0.0,0.0,39.0,0.0,0.0,3,1,1,5,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
U.S.,Mettawa Ill.,Transportation Equipment,David M. Foulkes,https://www.brunswick.com,Public,BC,4556.7,-131.0,2806.8,12828,3564.4,1300.9,-2.9,-3.7,-10.1,-1.53,-150.8,0.0,0.0,31.2,4.5,17.8,3,1,3,3,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
U.S.,Los Angeles Calif.,Homebuilders,Jeffrey T. Mezger,https://www.kbhome.com,Public,KBH,4552.7,268.8,1630.8,2140,5015.5,2383.1,5.9,5.4,11.3,2.85,66.7,-21.0,0.0,80.9,16.4,10.8,3,3,2,1,3,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
U.S.,McKinney Texas,Insurance: Life Health (stock),Gary L. Coleman/Larry M. Hutchison,https://www.globelifeinsurance.com,Public,GL,4527.5,760.8,7729.4,3196,25977.5,7294.3,16.8,2.9,10.4,6.83,12.2,10.8,12.2,42.3,15.2,19.5,3,5,4,1,5,5,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
U.S.,El Segundo Calif.,Toys Sporting Goods,Ynon Kreiz,https://www.mattel.com,Public,MAT,4504.6,-213.5,3055.9,24000,5325.2,491.7,-4.7,-4.0,-43.4,-0.62,0.0,0.0,0.0,35.6,-12.6,-0.6,3,1,3,5,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
U.S.,Chicago Ill.,Metals,Edward J. Lehner,https://www.ryerson.com,Public,RYI,4501.6,82.4,199.3,4500,2021.5,172.6,1.8,4.1,47.7,2.17,-22.8,0.0,0.0,86.6,3.6,0.0,3,2,1,1,1,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
U.S.,Stamford Conn.,Packaging Containers,Anthony J. Allott,https://www.silganholdings.com,Public,SLGN,4489.9,193.8,3214.8,13220,4931.1,1023.3,4.3,3.9,18.9,1.74,-13.4,4.0,5.3,33.5,4.4,9.3,3,3,3,4,3,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
U.S.,Lincolnshire Ill.,Electronics Electrical Equip.,Anders Gustafsson,https://www.zebra.com,Public,ZBRA,4485.0,544.0,9916.0,8200,4711.0,1839.0,12.1,11.5,29.6,9.97,28.5,73.7,28.9,60.4,27.0,24.6,3,4,4,2,2,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
U.S.,Sunnyvale Calif.,Network and Other Communications Equipment,Rami Rahim,https://www.juniper.net,Public,JNPR,4445.4,345.0,6326.3,9419,8837.7,4610.6,7.8,3.9,7.5,0.99,-38.1,0.0,16.2,-5.7,4.1,0.3,3,3,4,3,4,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
U.S.,New York N.Y.,Specialty Retailers: Other,Alessandro Bogliolo,https://www.investor.tiffany.com,Public,TIF,4424.0,541.1,15694.3,14100,6660.1,3322.9,12.2,8.1,16.3,4.45,-6.3,3.6,7.7,70.1,6.9,14.3,3,4,5,4,3,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
